Day     Month   Year    Tmin    Tmax    Rad     Prec    Irri    sunsh   ETo
      27       1    1997       6      21    20.8    12.2       0   12.55    4.89
      28       1    1997       6      20    14.8     0.3       0   12.54    4.13
      29       1    1997       7      21    18.1     0.5       0   12.54    4.55
      30       1    1997       7      18    24.7     4.9       0   12.53    4.37
      31       1    1997       6      20    19.2     1.8       0   12.52     4.5
       1       2    1997       4      24    17.8       0       0   12.51    5.59
       2       2    1997       2      22      14       0       0   12.50    4.96
       3       2    1997       3      22    16.4       2       0   12.49    5.06
       4       2    1997       5      20    19.8     2.3       0   12.49    4.66
       5       2    1997       9      16    23.3     0.8       0   12.48    3.56
       6       2    1997       9      19    20.5     1.3       0   12.47    4.04
       7       2    1997       4      18    18.3    16.3       0   12.46    4.15
       8       2    1997       6      19    21.8       1       0   12.45    4.47
       9       2    1997       5      18    14.3    23.9       0   12.44    3.72
      10       2    1997       6      18    14.8     0.5       0   12.43    3.65
      11       2    1997       6      18    24.2     3.8       0   12.42    4.42
      12       2    1997       7      17    29.4     0.8       0   12.41    4.51
      13       2    1997       8      18    28.9     5.4       0   12.40    4.62
      14       2    1997       6      20    24.6     0.3       0   12.39    4.95
      15       2    1997       6      21    22.4     3.1       0   12.38    5.02
      16       2    1997       5      20    23.5     2.3       0   12.37    4.95
      17       2    1997       6      21    29.4     6.1       0   12.36    5.62
      18       2    1997       6      19    22.3     2.3       0   12.35     4.5
      19       2    1997       8      19    18.7    10.7       0   12.34    3.98
      20       2    1997       6      18    27.5     6.1       0   12.33    4.68
      21       2    1997       6      15    17.2    20.3       0   12.32    3.16
      22       2    1997       6      17    25.6       2       0   12.31    4.28
      23       2    1997       8      17    25.3     9.1       0   12.30    4.05
      24       2    1997       7      16    17.7     6.4       0   12.29     3.3
      25       2    1997       9      19    23.7     7.8       0   12.28     4.3
      26       2    1997       5      20      24     2.8       0   12.27    4.98
      27       2    1997       7      15    26.2     0.5       0   12.26    3.74
      28       2    1997       6      20      28       0       0   12.25    5.21
       1       3    1997       5      21      30       0       0   12.24    5.73
       2       3    1997       8      19    21.4       0       0   12.23     4.2
       3       3    1997       6      24    15.9       0       0   12.21    5.18
       4       3    1997       8      18    23.6       0       0   12.20    4.13
       5       3    1997       7      17    21.6       0       0   12.19    3.83
       6       3    1997       7      20    15.1       0       0   12.18    4.01
       7       3    1997       8      18    16.9       0       0   12.17    3.57
       8       3    1997       7      18    20.7       0       0   12.16    3.99
       9       3    1997       7      19    25.1       0       0   12.15     4.6
      10       3    1997       6      13    21.9       0       0   12.14    3.05
      11       3    1997       4      20      24       0       0   12.12    5.04
      12       3    1997       7      20    11.8       0       0   12.11    3.72
      13       3    1997       6      22    17.4       0       0   12.10    4.79
      14       3    1997       4      20      20       0       0   12.09    4.71
      15       3    1997       7      19    24.4       0       0   12.08    4.52
      16       3    1997       6      21    18.7       0       0   12.07    4.64
      17       3    1997       6      20    22.7       0       0   12.06    4.72
      18       3    1997       4      22    23.9       0       0   12.05    5.51
      19       3    1997       3      22    20.7       0       0   12.03    5.34
      20       3    1997       4      21      19       0       0   12.02    4.86
      21       3    1997       3      23    24.5       0       0   12.01    5.89
      22       3    1997       7      22    21.5       0       0   12.00       5
      23       3    1997       5      22    21.4       0       0   11.99    5.19
      24       3    1997       3      23    20.5       0       0   11.98    5.56
      25       3    1997       3      22    16.9       0       0   11.97    5.02
      26       3    1997       2      21    24.2       0       0   11.95    5.42
      27       3    1997       6      22    23.5       0       0   11.94    5.25
      28       3    1997       9      10    19.8       0       0   11.93    1.92
      29       3    1997       4      16    15.9       0       0   11.92    3.43
      30       3    1997       7      19    25.4       0       0   11.91    4.54
      31       3    1997       5      21    14.4       0       0   11.90    4.36
       1       4    1997       2      21    21.5       0       0   11.89    5.19
       2       4    1997       1      22      14       0       0   11.88    4.95
       3       4    1997       1      22    18.9       0       0   11.86    5.31
       4       4    1997       0      21    17.3       0       0   11.85    5.03
       5       4    1997       6      19    19.5       0       0   11.84    4.15
       6       4    1997       6      23    18.8       0       0   11.83    5.07
       7       4    1997       6      20    15.7       0       0   11.82    4.09
       8       4    1997       7      18    15.1       0       0   11.81    3.46
       9       4    1997       7      20    16.9       0       0   11.80    4.06
      10       4    1997       0      20    21.2       0       0   11.79    5.04
      11       4    1997       2      21    18.4       0       0   11.77    4.91
      12       4    1997       5      19    20.4       0       0   11.76    4.29
      13       4    1997       3      21    25.9       0       0   11.75    5.36
      14       4    1997       4      22    21.7       0       0   11.74     5.2
      15       4    1997       5      21    25.2       0       0   11.73    5.12
      16       4    1997       6      20    23.1       0       0   11.72    4.61
      17       4    1997       7      20    17.1       0       0   11.71    4.04
      18       4    1997       6      19    19.1       0       0   11.70    4.06
      19       4    1997       2      20    21.9       0       0   11.69    4.88
      20       4    1997       7      22    19.8       0       0   11.68    4.73
      21       4    1997       1      20    17.7       0       0   11.67    4.66
      22       4    1997       6      21    18.9       0       0   11.66    4.51
      23       4    1997       2      21    23.1       0       0   11.65    5.18
      24       4    1997       3      21    26.3       0       0   11.64    5.31
      25       4    1997       1    22.2    23.6       0       0   11.63    5.57
      26       4    1997       3      22    13.1       0       0   11.62    4.61
      27       4    1997       0      21    19.2       0       0   11.61    5.05
      28       4    1997       7      21    15.1       0       0   11.60    4.08
      29       4    1997       6      24    19.6       0       0   11.59    5.26
      30       4    1997       5      22    22.4       0       0   11.58    5.07
       1       5    1997       8      21    15.3       0       0   11.57    3.97
       2       5    1997       4      20    16.6       0       0   11.56    4.26
       3       5    1997       2      19    15.3       0       0   11.55    4.13
       4       5    1997       6      17    21.2       0       0   11.54    3.67
       5       5    1997       2      21    19.5       0       0   11.53    4.86
       6       5    1997       1      20    17.6       0       0   11.52    4.59
       7       5    1997       3      21    19.9       0       0   11.51    4.79
       8       5    1997       3      20    23.6       0       0   11.51    4.79
       9       5    1997       3      21    23.3       0       0   11.50       5
      10       5    1997       5      20      22       0       0   11.49    4.49
      11       5    1997       4      21    18.4       0       0   11.48    4.58
      12       5    1997       2      22    22.5       0       0   11.47    5.26
      13       5    1997       1      21    24.4       0       0   11.46    5.21
      14       5    1997       3      22    19.7       0       0   11.46    4.98
      15       5    1997       1      23    24.2       0       0   11.45    5.67
      16       5    1997      -2      21    20.6       0       0   11.44    5.19
      17       5    1997       3      19    22.6       0       0   11.43    4.43
      18       5    1997       3      20    20.8       0       0   11.43    4.55
      19       5    1997       4      20    17.7       0       0   11.42    4.26
      20       5    1997       6      19    18.1       0       0   11.41    3.84
      21       5    1997       7      18    21.9       0       0   11.41    3.76
      22       5    1997       8      20    18.4       0       0   11.40    3.87
      23       5    1997       5      21    15.6       0       0   11.39    4.24
      24       5    1997       1      20    19.3       0       0   11.39    4.61
      25       5    1997       7      21    15.9       0       0   11.38    4.04
      26       5    1997       9      22      17       0       0   11.37    4.12
      27       5    1997       6      23    19.6       0       0   11.37    4.87
      28       5    1997       0      21    13.2       0       0   11.36    4.56
      29       5    1997       1      20     9.7       0       0   11.36    4.04
      30       5    1997       2      21    15.9       0       0   11.35    4.53
      31       5    1997       2      21    19.2       0       0   11.35    4.72
       1       6    1997       2      21    21.6       0       0   11.34    4.86
       2       6    1997       1      22    22.6       0       0   11.34    5.24
       3       6    1997       1      21      20       0       0   11.34    4.84
       4       6    1997       2      22    20.3       0       0   11.33    5.01
       5       6    1997       0      22    20.8       0       0   11.33     5.2
       6       6    1997       2      22    19.6       0       0   11.32    4.96
       7       6    1997       1      23    21.5       0       0   11.32    5.39
       8       6    1997       2      21      22       0       0   11.32    4.86
       9       6    1997       1      23      22       0       0   11.31    5.42
      10       6    1997       3      22    22.2       0       0   11.31    5.02
      11       6    1997       6      20    22.5       0       0   11.31    4.29
      12       6    1997       3      21    20.2       0       0   11.31    4.66
      13       6    1997       5      21    17.5       0       0   11.30    4.31
      14       6    1997       3      22    14.7       0       0   11.30    4.57
      15       6    1997       2      23    16.7       0       0   11.30    5.01
      16       6    1997       2      22      18       0       0   11.30    4.85
      17       6    1997       1      20    20.8       0       0   11.30    4.63
      18       6    1997       3      21    19.4       0       0   11.30    4.61
      19       6    1997       2      18    22.5       0       0   11.30    4.18
      20       6    1997       2      22    22.4       0       0   11.30    5.11
      21       6    1997       4      23    22.3       0       0   11.30    5.17
      22       6    1997       5      22    17.9       0       0   11.30    4.57
      23       6    1997       2      21    18.5       0       0   11.30    4.65
      24       6    1997       4      20    18.9       0       0   11.30    4.25
      25       6    1997       1      22    18.5       0       0   11.30    4.97
      26       6    1997       0      21      19       0       0   11.30    4.84
      27       6    1997       1      20    22.4       0       0   11.30    4.72
      28       6    1997       0      21      22       0       0   11.30    5.01
      29       6    1997       5      20    16.6       0       0   11.30    4.02
      30       6    1997       5      18    19.3       0       0   11.31    3.73
       1       7    1997       2      20    22.5       0       0   11.31    4.65
       2       7    1997       1      22    18.5       0       0   11.31    4.98
       3       7    1997       3      21    22.6       0       0   11.31    4.81
       4       7    1997       2      20    22.2       0       0   11.32    4.64
       5       7    1997       3      19    19.1       0       0   11.32    4.15
       6       7    1997       4      21    16.8       0       0   11.32    4.38
       7       7    1997       3      20    19.4       0       0   11.33     4.4
       8       7    1997       5      20    15.7       0       0   11.33    3.98
       9       7    1997       1      21    17.1       0       0   11.33    4.68
      10       7    1997       1      20    18.1       0       0   11.34    4.51
      11       7    1997       0      20    19.9       0       0   11.34    4.69
      12       7    1997       0      18    22.2       0       0   11.35    4.37
      13       7    1997       3      20      19       0       0   11.35    4.39
      14       7    1997       3      20    21.1       0       0   11.36    4.52
      15       7    1997       3      21      20       0       0   11.36    4.69
      16       7    1997       2      22      20       0       0   11.37    5.02
      17       7    1997       2      21    19.2       0       0   11.37    4.74
      18       7    1997       1      19    18.9       0       0   11.38    4.35
      19       7    1997      -1      21    20.3       0       0   11.38    5.06
      20       7    1997       1      22      18       0       0   11.39       5
      21       7    1997      -4      19      20       0       0   11.40     4.8
      22       7    1997       1      20    21.3       0       0   11.40    4.74
      23       7    1997       1      21    21.2       0       0   11.41    4.97
      24       7    1997       3      19    16.2       0       0   11.42    4.03
      25       7    1997       5      21    20.5       0       0   11.42    4.58
      26       7    1997       2      21    20.5       0       0   11.43    4.86
      27       7    1997      -5      21    21.6       0       0   11.44    5.44
      28       7    1997      -5      21    21.2       0       0   11.44    5.42
      29       7    1997       5      23    19.1       0       0   11.45    4.99
      30       7    1997       2      21    16.5       0       0   11.46    4.63
      31       7    1997     3.2    22.1    19.1       0       0   11.47    4.96
       1       8    1997       2      19    19.7       0       0   11.48    4.37
       2       8    1997      -1      23    23.9       0       0   11.48    5.83
       3       8    1997       1      22    14.9       0       0   11.49    4.87
       4       8    1997       2      21    20.9       0       0   11.50    4.94
       5       8    1997      -2      18    24.7       0       0   11.51    4.77
       6       8    1997      -2      20    23.2       0       0   11.52    5.16
       7       8    1997       6      12    20.6       0       0   11.53    2.55
       8       8    1997      -5      10    17.5       0       0   11.54    2.93
       9       8    1997      -4      12    16.9       0       0   11.55    3.22
      10       8    1997      -5      18    21.6       0       0   11.56    4.83
      11       8    1997       5      18    22.7       0       0   11.56    4.11
      12       8    1997      -3      19    23.2       0       0   11.57    5.03
      13       8    1997       3      20      23       0       0   11.58     4.8
      14       8    1997       2      21    25.6       0       0   11.59    5.31
      15       8    1997      -1      21    25.7       0       0   11.60    5.55
      16       8    1997       0      19    25.8       0       0   11.61       5
      17       8    1997       0      21      25       0       0   11.62    5.44
      18       8    1997      -4      22    23.4       0       0   11.63    5.86
      19       8    1997      -4      28    26.1       0       0   11.64    7.53
      20       8    1997      -5      19    26.2       0       0   11.65    5.39
      21       8    1997      -7      19    24.4       0       0   11.66     5.4
      22       8    1997      -4      21    26.4       0       0   11.67    5.84
      23       8    1997       5      25    23.3       0       0   11.68    5.96
      24       8    1997       4      21    22.6       0       0   11.69    4.99
      25       8    1997       2      22    23.2       0       0   11.70    5.46
      26       8    1997       1      21    23.1       0       0   11.72     5.3
      27       8    1997       1      21    20.2       0       0   11.73     5.1
      28       8    1997       5      22    25.8       0       0   11.74    5.42
      29       8    1997       4      20    15.8       0       0   11.75    4.28
      30       8    1997       4      19    22.9       0       0   11.76    4.56
      31       8    1997       5      20    19.5       0       0   11.77    4.46
       1       9    1997      12      20    22.1       0       0   11.78     3.9
       2       9    1997       1      22    23.1       0       0   11.79    5.59
       3       9    1997       1      23    22.3       0       0   11.80    5.78
       4       9    1997       0      23    24.3       0       0   11.81    6.01
       5       9    1997       1      24    22.5       0       0   11.82    6.06
       6       9    1997       1      16    26.8       0       0   11.84     4.4
       7       9    1997       1      22    18.6       0       0   11.85    5.28
       8       9    1997       1      23      21       0       0   11.86    5.71
       9       9    1997       0      22    24.1     2.9       0   11.87    5.77
      10       9    1997       1      21    18.9     2.8       0   11.88    5.07
      11       9    1997       1      20      14     3.1       0   11.89    4.48
      12       9    1997       3      23      21     0.3       0   11.90    5.56
      13       9    1997       1      23    25.7     2.5       0   11.91    6.09
      14       9    1997       4      24      23     3.3       0   11.93     5.9
      15       9    1997       0      15    21.1       0       0   11.94    3.92
      16       9    1997       9      19    20.9       0       0   11.95    3.97
      17       9    1997       4      20    23.2     9.8       0   11.96    4.91
      18       9    1997       5      20    20.4     1.2       0   11.97     4.6
      19       9    1997       4      23    20.4       0       0   11.98    5.45
      20       9    1997       3      21    24.2       2       0   11.99    5.34
      21       9    1997       1      19    27.8     1.9       0   12.01    5.27
      22       9    1997       2      23    25.2       0       0   12.02    6.02
      23       9    1997       3      21    18.4       1       0   12.03     4.9
      24       9    1997       2      22    21.4       0       0   12.04    5.48
      25       9    1997       4      21    18.6       0       0   12.05    4.83
      26       9    1997       6      16    25.7       0       0   12.06    3.98
      27       9    1997       2     8.5    23.8       0       0   12.07    2.61
      28       9    1997     1.5    10.8    21.4       0       0   12.09    2.96
      29       9    1997     1.9      11    25.4       6       0   12.10    3.22
      30       9    1997       8      19    24.9       1       0   12.11    4.46
       1      10    1997       9      19    17.5       0       0   12.12    3.72
       2      10    1997     7.2    18.1    13.8       2       0   12.13    3.42
       3      10    1997       6      21    30.3       0       0   12.14    5.63
       4      10    1997       3      22    22.1     4.4       0   12.15    5.48
       5      10    1997       3      22    19.7     3.4       0   12.16    5.29
       6      10    1997       5      24    17.6       0       0   12.18    5.42
       7      10    1997       6      23      23       0       0   12.19    5.54
       8      10    1997       9      12    19.1       0       0   12.20    2.31
       9      10    1997       6      19    27.9       0       0   12.21    4.93
      10      10    1997       5      20    24.7       0       0   12.22    5.02
      11      10    1997       7      21    27.4       0       0   12.23    5.31
      12      10    1997       6      22      26       0       0   12.24    5.55
      13      10    1997       8      11      24       0       0   12.25    2.59
      14      10    1997       9      19      26       0       0   12.26    4.49
      15      10    1997      11      21    22.6       0       0   12.27    4.46
      16      10    1997      10      21    15.4     0.7       0   12.28    3.92
      17      10    1997       8      21    19.6     3.7       0   12.30    4.54
      18      10    1997       9      23    21.7     1.3       0   12.31    5.13
      19      10    1997       5      24    25.7       0       0   12.32    6.16
      20      10    1997       9      19    21.6       0       0   12.33    4.11
      21      10    1997       6      20    20.8     5.1       0   12.34    4.62
      22      10    1997       4      19    21.1      22       0   12.35    4.59
      23      10    1997       5      20    26.4       0       0   12.36    5.18
      24      10    1997       4      21    23.6       0       0   12.37     5.3
      25      10    1997       6      20    21.2       0       0   12.38    4.65
      26      10    1997       9      19    29.3       0       0   12.39     4.8
      27      10    1997       4      24    24.9       1       0   12.40     6.2
      28      10    1997       6      22    28.1    16.4       0   12.41    5.77
      29      10    1997       3      23    19.8     0.3       0   12.42    5.59
      30      10    1997       4      15    21.4       0       0   12.43    3.68
      31      10    1997       8      17    21.3    10.8       0   12.44    3.73
       1      11    1997       8      10    19.6       4       0   12.44    2.09
       2      11    1997       7      18    24.5     0.3       0   12.45    4.34
       3      11    1997       9      19    25.6       0       0   12.46    4.48
       4      11    1997       9      19    26.1       0       0   12.47    4.53
       5      11    1997       8      18    28.9       0       0   12.48    4.62
       6      11    1997       8      21    27.8       0       0   12.49     5.3
       7      11    1997       7      17    19.5     0.8       0   12.50    3.69
       8      11    1997       7      12    27.3       0       0   12.51    3.18
       9      11    1997       7      19    27.4       0       0   12.52    4.84
      10      11    1997       7      13    22.6       0       0   12.52    3.04
      11      11    1997       7      13    24.6       0       0   12.53    3.19
      12      11    1997       7      12    25.6     2.9       0   12.54    3.05
      13      11    1997       8      23    21.1     3.9       0   12.55    5.21
      14      11    1997       4      19    16.6     3.6       0   12.55    4.25
      15      11    1997       7      21    23.2     0.1       0   12.56    4.99
      16      11    1997       7      13    24.9     1.7       0   12.57    3.22
      17      11    1997       6      21    31.9       0       0   12.58    5.85
      18      11    1997       5      20    31.5       0       0   12.58    5.63
      19      11    1997       7      19    18.3     1.6       0   12.59    4.07
      20      11    1997       8      20    30.3     6.9       0   12.60    5.27
      21      11    1997       8      21    24.8       0       0   12.60    5.04
      22      11    1997       8      12    24.7     3.7       0   12.61    2.89
      23      11    1997       7      16    24.6       0       0   12.62    3.88
      24      11    1997       6      18    23.1     4.7       0   12.62    4.34
      25      11    1997       8      18      23       2       0   12.63    4.12
      26      11    1997       3      24    23.2     1.8       0   12.63    6.16
      27      11    1997       5      17    19.9       0       0   12.64    3.94
      28      11    1997       6      16      29       0       0   12.64    4.33
      29      11    1997       5      18    19.2     1.3       0   12.65    4.12
      30      11    1997       6      24    19.8     4.8       0   12.65    5.57
       1      12    1997       4      13    24.3    10.3       0   12.66    3.46
       2      12    1997       4      19    17.6      25       0   12.66    4.34
       3      12    1997       4      21    20.7       0       0   12.67    5.08
       4      12    1997       5      17    23.9       0       0   12.67    4.26
       5      12    1997       5      21    29.5     9.1       0   12.67    5.74
       6      12    1997       6      14    25.2     0.4       0   12.68    3.57
       7      12    1997       6      15    25.5       0       0   12.68    3.82
       8      12    1997       5      15      21       0       0   12.68    3.57
       9      12    1997       6      16    26.3       0       0   12.69    4.12
      10      12    1997       8      15    19.6     8.1       0   12.69    3.14
      11      12    1997       5      17    26.2     0.6       0   12.69    4.44
      12      12    1997       8      17    26.7       0       0   12.69     4.2
      13      12    1997       5      17    26.7       0       0   12.70    4.48
      14      12    1997       6      13    29.9       0       0   12.70     3.7
      15      12    1997       8      21    28.2     0.9       0   12.70    5.35
      16      12    1997       5      20    22.8       0       0   12.70    4.91
      17      12    1997       8      21    23.6       0       0   12.70    4.93
      18      12    1997       9      17    21.2    15.9       0   12.70    3.62
      19      12    1997       7      19    26.2       0       0   12.70    4.75
      20      12    1997       8      13    24.1       0       0   12.70    3.06
      21      12    1997       9      12    20.3     3.2       0   12.70    2.44
      22      12    1997       6      13    22.1       0       0   12.70    3.11
      23      12    1997       8      18    27.7       0       0   12.70    4.53
      24      12    1997       8      18    21.3       0       0   12.70    3.98
      25      12    1997       8      18    24.4       0       0   12.70    4.25
      26      12    1997       9      17    23.9       0       0   12.70    3.86
      27      12    1997      11      17    19.9       0       0   12.70    3.27
      28      12    1997      11      17    19.6       0       0   12.70    3.24
      29      12    1997      10      18    25.8       0       0   12.70    4.16
      30      12    1997       6      22    26.3    17.9       0   12.69    5.64
      31      12    1997       6      19    21.6       0       0   12.69    4.47
